,Year Built,# Views
0,1992.0,3263
1,1979.0,2432
2,2002.0,2261
3,2009.0,2154
4,1993.0,2026
5,2014.0,1970
6,1980.0,1917
7,2005.0,1834
8,1995.0,1831
9,1980.0,1804
10,2016.0,1780
11,2020.0,1710
12,2019.0,1700
13,2006.0,1621
14,2010.0,1461
15,1977.0,1449
16,2020.0,1430
17,2009.0,1414
18,1990.0,1386
19,2007.0,1351
20,1994.0,1319
21,1974.0,1299
22,2020.0,1272
23,1936.0,1236
24,2004.0,1230
25,1987.0,1201
26,2010.0,1153
27,1996.0,1136
28,1989.0,1128
29,2001.0,1119
30,2005.0,1119
31,1987.0,1116
32,2006.0,1107
33,1978.0,1101
34,1994.0,1057
35,1983.0,1054
36,1996.0,1049
37,1989.0,1033
38,1998.0,1028
39,2012.0,1019
40,2012.0,1019
41,1980.0,1019
42,2005.0,1017
43,2015.0,1014
44,2020.0,1009
45,1975.0,997
46,2006.0,991
47,2000.0,990
48,2010.0,986
49,2002.0,973
50,1996.0,961
51,2007.0,920
52,1984.0,917
53,2006.0,917
54,2004.0,915
55,2014.0,912
56,2019.0,908
57,1940.0,900
58,2020.0,899
59,1992.0,896
60,1972.0,892
61,2020.0,888
62,1995.0,888
63,2012.0,885
64,1995.0,885
65,2009.0,883
66,2011.0,879
67,1967.0,875
68,2020.0,873
69,2010.0,870
70,1998.0,870
71,2004.0,869
72,2016.0,869
73,1901.0,868
74,2015.0,867
75,1980.0,866
76,1989.0,866
77,1992.0,863
78,2016.0,860
79,2019.0,859
80,2006.0,851
81,1974.0,849
82,1996.0,832
83,1988.0,829
84,2017.0,826
85,1995.0,826
86,2009.0,811
87,1985.0,810
88,1998.0,806
89,2011.0,801
90,2011.0,799
91,1996.0,799
92,1988.0,792
93,2007.0,790
94,2019.0,785
95,1991.0,783
96,1963.0,781
97,2017.0,780
98,1996.0,778
99,2013.0,773
100,1997.0,771
101,1992.0,760
102,1994.0,746
103,1958.0,746
104,2015.0,744
105,1993.0,744
106,1991.0,743
107,2016.0,742
108,2011.0,742
109,1998.0,738
110,2015.0,728
111,1985.0,713
112,2012.0,712
113,2016.0,711
114,1998.0,709
115,2008.0,708
116,1985.0,708
117,1990.0,706
118,1999.0,704
119,1995.0,700
120,2018.0,695
121,2007.0,691
122,2019.0,690
123,1990.0,686
124,2015.0,686
125,1993.0,685
126,2004.0,684
127,2020.0,683
128,1976.0,683
129,1996.0,682
130,1996.0,678
131,1995.0,677
132,2003.0,677
133,1930.0,673
134,2007.0,672
135,2013.0,665
136,2005.0,665
137,1991.0,665
138,2001.0,662
139,1990.0,660
140,1991.0,655
141,2015.0,655
142,1990.0,654
143,2010.0,652
144,1984.0,651
145,1990.0,651
146,2003.0,646
147,1990.0,642
148,1994.0,641
149,1978.0,640
150,1981.0,636
151,1976.0,635
152,1989.0,633
153,,632
154,2010.0,631
155,1973.0,631
156,2012.0,630
157,1986.0,628
158,1995.0,628
159,1973.0,628
160,2005.0,622
161,2019.0,622
162,1980.0,622
163,2013.0,621
164,1991.0,621
165,2000.0,620
166,2019.0,620
167,1992.0,620
168,1989.0,619
169,1969.0,619
170,2005.0,617
171,,613
172,1979.0,613
173,2001.0,612
174,1994.0,612
175,1960.0,611
176,1995.0,607
177,1996.0,605
178,2019.0,605
179,1990.0,605
180,1986.0,604
181,2019.0,603
182,2018.0,603
183,2012.0,599
184,1992.0,599
185,1999.0,598
186,2017.0,598
187,1998.0,597
188,2007.0,597
189,2006.0,596
190,1967.0,595
191,1982.0,594
192,1978.0,593
193,1985.0,589
194,2011.0,586
195,1989.0,586
196,1993.0,585
197,2005.0,585
198,1995.0,583
199,2009.0,582
200,1983.0,581
201,1990.0,581
202,1967.0,578
203,2014.0,578
204,2000.0,578
205,1962.0,577
206,1991.0,576
207,2000.0,575
208,2000.0,574
209,1996.0,573
210,2020.0,571
211,1973.0,567
212,1979.0,566
213,2007.0,565
214,1980.0,565
215,2009.0,562
216,1985.0,561
217,2004.0,555
218,2020.0,554
219,1984.0,550
220,,550
221,2014.0,549
222,2006.0,548
223,1969.0,546
224,1980.0,543
225,2008.0,540
226,1992.0,540
227,1989.0,540
228,2019.0,539
229,2008.0,539
230,1990.0,538
231,1989.0,537
232,2005.0,535
233,2020.0,535
234,2004.0,535
235,2002.0,535
236,1970.0,534
237,2019.0,534
238,1963.0,531
239,,531
240,1976.0,530
241,2020.0,529
242,2015.0,529
243,2020.0,528
244,1992.0,528
245,2001.0,527
246,2008.0,527
247,1997.0,527
248,1989.0,527
249,1994.0,526
250,2002.0,525
251,2019.0,525
252,1980.0,525
253,1999.0,524
254,1990.0,523
255,2020.0,522
256,2021.0,520
257,1971.0,520
258,1991.0,518
259,1969.0,517
260,2017.0,517
261,2004.0,516
262,2007.0,513
263,1995.0,513
264,2020.0,512
265,1996.0,512
266,1983.0,511
267,2017.0,508
268,1992.0,508
269,1988.0,507
270,2008.0,507
271,1986.0,507
272,2013.0,506
273,2019.0,503
274,2006.0,503
275,2001.0,503
276,1999.0,502
277,2006.0,501
278,2012.0,499
279,1997.0,498
280,1973.0,495
281,1992.0,494
282,2013.0,493
283,2003.0,491
284,1995.0,490
285,1994.0,489
286,1981.0,489
287,2003.0,488
288,2003.0,487
289,2002.0,486
290,1999.0,486
291,2006.0,485
292,2006.0,485
293,2001.0,483
294,2017.0,482
295,2017.0,481
296,1984.0,480
297,2002.0,479
298,2001.0,478
299,2001.0,478
300,1971.0,477
301,2000.0,476
302,2020.0,476
303,1993.0,476
304,1938.0,475
305,1988.0,475
306,1977.0,475
307,1978.0,475
308,1999.0,474
309,2020.0,474
310,2006.0,472
311,2003.0,471
312,2003.0,471
313,1998.0,471
314,2006.0,469
315,1999.0,468
316,2001.0,467
317,1991.0,467
318,1985.0,467
319,2006.0,466
320,2014.0,466
321,2011.0,465
322,1999.0,464
323,2021.0,464
324,,463
325,,462
326,2020.0,462
327,1993.0,462
328,1986.0,462
329,2006.0,461
330,1985.0,460
331,1995.0,460
332,1982.0,460
333,2020.0,459
334,1926.0,459
335,2004.0,457
336,1989.0,457
337,2003.0,457
338,1994.0,457
339,,457
340,1988.0,456
341,2003.0,455
342,2000.0,455
343,1990.0,455
344,1994.0,454
345,,454
346,1994.0,452
347,1989.0,451
348,1991.0,451
349,2019.0,449
350,1962.0,448
351,1991.0,448
352,1994.0,448
353,1990.0,447
354,2017.0,445
355,2014.0,444
356,1912.0,444
357,1990.0,442
358,2000.0,441
359,1948.0,440
360,2006.0,439
361,1979.0,439
362,1972.0,437
363,1984.0,436
364,1999.0,436
365,1991.0,436
366,1991.0,436
367,2016.0,435
368,2019.0,434
369,2004.0,434
370,2005.0,434
371,1950.0,434
